[114, '  1.276', '  3.797', '  1.600', 'WAT']
[115, '  0.110', '  2.428', '  0.785', 'WAT']
[116, '  1.308', '  0.533', '  2.666', 'WAT']
[117, '  3.627', '  2.934', '  1.060', 'WAT']
[118, '  3.561', '  3.260', '  3.047', 'WAT']
[119, '  1.822', '  3.776', '  0.030', 'WAT']
[120, '  2.039', '  1.577', '  0.211', 'WAT']
[121, '  2.786', '  2.412', '  2.334', 'WAT']
[122, '  0.621', '  2.664', '  3.530', 'WAT']
[123, '  0.672', '  2.794', '  1.178', 'WAT']
[124, '  2.331', '  3.902', '  2.899', 'WAT']
[125, '  0.483', '  3.024', '  1.723', 'WAT']
[126, '  3.850', '  0.608', '  1.507', 'WAT']
[127, '  2.232', '  3.193', ' -0.002', 'WAT']
[128, '  0.931', '  3.529', '  0.407', 'WAT']
[129, '  3.632', '  2.478', '  0.119', 'WAT']
[130, '  1.295', '  3.540', '  1.673', 'WAT']
[131, '  0.612', '  0.789', '  0.188', 'WAT']
[132, '  2.005', '  0.757', '  0.672', 'WAT']
[133, '  2.826', '  3.411', '  0.043', 'WAT']
[134, '  3.965', '  2.361', '  0.098', 'WAT']
[135, '  2.772', '  3.897', '  0.648', 'WAT']
[136, '  3.727', '  2.885', '  2.675', 'WAT']
[137, '  0.939', '  3.821', '  0.358', 'WAT']
[138, '  2.433', '  0.892', '  2.025', 'WAT']
[139, '  2.925', '  0.352', '  1.108', 'WAT']
[140, '  0.864', '  2.216', ' -0.003', 'WAT']
[141, '  2.802', '  3.773', '  2.529', 'WAT']
[142, '  3.370', '  1.117', '  3.535', 'WAT']
[143, '  3.776', '  3.513', '  2.339', 'WAT']
[144, '  1.279', '  0.232', '  3.510', 'WAT']
[145, '  3.820', '  0.018', '  3.489', 'WAT']
[146, '  0.358', '  1.655', '  0.109', 'WAT']
[147, '  3.261', '  3.376', '  2.448', 'WAT']
[148, '  2.280', '  1.177', '  2.687', 'WAT']
[149, '  3.159', '  2.051', '  2.030', 'WAT']
[150, '  0.990', '  0.822', '  3.341', 'WAT']
[151, '  3.697', '  1.036', '  3.277', 'WAT']
[152, '  3.264', '  0.529', '  1.212', 'WAT']
[153, '  1.157', '  1.836', '  2.552', 'WAT']
[154, '  2.878', '  1.518', '  0.167', 'WAT']
[155, '  3.345', '  1.643', '  0.345', 'WAT']
[156, '  3.572', '  1.175', '  3.045', 'WAT']
[157, '  2.285', '  2.325', '  3.444', 'WAT']
[158, '  3.327', '  0.456', '  2.787', 'WAT']
[159, '  1.360', '  0.319', '  3.776', 'WAT']
[160, '  3.026', '  2.199', '  2.880', 'WAT']
[161, '  2.782', '  0.854', '  2.886', 'WAT']
[162, '  2.427', '  3.006', '  2.851', 'WAT']
[163, '  1.171', '  2.869', '  3.481', 'WAT']
[164, '  2.360', '  0.214', '  0.673', 'WAT']
[165, '  1.966', '  0.909', '  1.639', 'WAT']
[166, '  0.406', '  3.323', '  0.338', 'WAT']
[167, '  0.343', '  0.584', '  0.540', 'WAT']
[168, '  0.984', '  0.561', '  3.241', 'WAT']
[169, '  3.925', '  1.738', '  0.582', 'WAT']
[170, '  2.922', '  1.133', '  1.292', 'WAT']
[171, '  3.182', '  1.775', '  1.165', 'WAT']
[172, '  0.251', '  3.748', '  1.283', 'WAT']
[173, '  2.398', '  2.396', '  3.812', 'WAT']
[174, '  2.687', '  3.713', '  2.983', 'WAT']
[175, '  1.353', '  0.819', '  2.244', 'WAT']
[176, '  1.788', '  1.177', '  3.823', 'WAT']
[177, '  1.288', '  2.808', '  1.504', 'WAT']
[178, '  0.152', '  3.768', '  2.070', 'WAT']
[179, '  0.111', '  1.969', '  1.606', 'WAT']
[180, '  0.214', '  2.415', '  1.474', 'WAT']
[181, '  2.061', '  3.260', '  1.983', 'WAT']
[182, '  1.294', '  2.135', '  3.009', 'WAT']
[183, '  1.844', '  3.522', '  1.554', 'WAT']
[184, '  2.055', '  1.631', '  0.982', 'WAT']
[185, '  0.483', '  3.641', '  3.703', 'WAT']
[186, '  1.387', '  3.548', '  2.885', 'WAT']
[187, '  2.248', '  2.240', '  1.244', 'WAT']
[188, '  0.706', '  3.207', '  0.155', 'WAT']
[189, '  1.620', '  3.282', '  0.727', 'WAT']
[190, '  1.645', '  3.811', '  1.304', 'WAT']
[191, '  1.804', '  2.606', '  1.054', 'WAT']
[192, '  3.043', '  2.120', '  3.625', 'WAT']
[193, '  3.949', '  3.390', '  0.450', 'WAT']
[194, '  0.725', '  0.165', '  3.670', 'WAT']
[195, '  0.644', '  3.908', '  2.022', 'WAT']
[196, '  1.346', '  2.304', '  1.544', 'WAT']
[197, '  0.053', '  3.897', '  2.313', 'WAT']
[198, '  0.553', '  4.005', '  2.440', 'WAT']
[199, '  1.214', '  2.514', '  0.589', 'WAT']
[200, '  0.775', '  2.692', '  2.593', 'WAT']
[201, '  0.170', '  3.632', '  0.409', 'WAT']
[202, '  2.153', '  0.113', '  0.901', 'WAT']
[203, '  0.230', '  0.327', '  0.477', 'WAT']
[204, '  2.059', '  0.194', '  2.074', 'WAT']
[205, '  1.766', '  1.491', '  1.859', 'WAT']
[206, '  0.699', '  2.077', '  1.465', 'WAT']
[207, '  1.293', '  0.621', '  2.913', 'WAT']
[208, '  2.341', '  0.207', '  1.453', 'WAT']
[209, '  0.907', '  0.202', '  2.519', 'WAT']
[210, '  2.129', '  3.942', '  3.368', 'WAT']
[211, '  2.835', '  0.047', '  1.887', 'WAT']
[212, '  3.028', '  1.805', '  0.422', 'WAT']
[213, '  0.664', '  2.671', '  2.312', 'WAT']
[214, '  0.432', '  3.763', '  2.409', 'WAT']
[215, '  4.000', '  1.795', '  3.913', 'WAT']
[216, '  3.485', '  3.372', '  1.603', 'WAT']
[217, '  0.590', '  2.411', '  3.447', 'WAT']
[218, '  0.805', '  3.443', '  1.522', 'WAT']
[219, '  1.775', '  2.875', '  0.840', 'WAT']
[220, '  2.438', '  3.347', '  3.880', 'WAT']
[221, '  1.262', '  3.880', '  2.276', 'WAT']
[222, '  1.242', '  1.012', '  3.637', 'WAT']
[223, '  0.200', '  3.980', '  0.577', 'WAT']
[224, '  1.960', '  0.105', '  3.514', 'WAT']
[225, '  1.831', '  1.121', '  2.548', 'WAT']
[226, '  3.899', '  0.207', '  1.317', 'WAT']
[227, '  0.557', '  3.523', '  0.022', 'WAT']
[228, '  0.911', '  3.097', '  2.866', 'WAT']
[229, '  2.601', '  0.623', '  1.078', 'WAT']
[230, '  0.748', '  3.582', '  2.174', 'WAT']
[231, '  0.831', '  1.425', '  2.549', 'WAT']
[232, '  3.320', '  0.269', '  1.554', 'WAT']
[233, '  0.862', '  2.606', '  0.835', 'WAT']
[234, '  0.396', '  3.752', '  0.991', 'WAT']
[235, '  3.103', '  0.724', '  1.955', 'WAT']
[236, '  0.602', '  2.254', '  1.160', 'WAT']
[237, '  1.727', '  2.895', '  3.033', 'WAT']
[238, '  2.422', '  3.662', '  3.076', 'WAT']
[239, '  2.961', '  3.987', '  0.179', 'WAT']
[240, '  3.449', '  3.663', '  3.385', 'WAT']
[241, '  0.715', '  0.425', '  1.035', 'WAT']
[242, '  1.683', '  1.975', '  2.897', 'WAT']
[243, '  1.558', '  0.360', '  3.969', 'WAT']
[244, '  0.516', '  3.289', '  1.857', 'WAT']
[245, '  3.791', '  1.029', '  1.475', 'WAT']
[246, '  3.915', '  2.167', '  1.733', 'WAT']
[247, '  3.245', '  1.327', '  0.050', 'WAT']
[248, '  3.081', '  3.604', '  3.723', 'WAT']
[249, '  2.692', '  3.915', '  0.126', 'WAT']
[250, '  3.265', '  0.875', '  2.354', 'WAT']
[251, '  1.113', '  0.972', '  1.683', 'WAT']
[252, '  2.249', '  1.216', '  1.139', 'WAT']
[253, '  3.248', '  3.137', '  1.640', 'WAT']
[254, '  0.724', '  2.003', '  2.108', 'WAT']
[255, '  3.501', '  1.446', '  0.418', 'WAT']
[256, '  0.440', '  3.751', '  0.510', 'WAT']
[257, '  1.709', '  3.600', '  3.196', 'WAT']
[258, '  1.889', '  3.398', '  0.592', 'WAT']
[259, '  2.091', '  2.035', '  0.887', 'WAT']
[260, '  1.763', '  2.207', '  2.123', 'WAT']
[261, '  0.133', '  1.180', '  1.520', 'WAT']
[262, '  1.355', '  1.357', '  1.277', 'WAT']
[263, '  3.255', '  2.958', '  0.380', 'WAT']
[264, '  3.005', '  0.971', '  2.048', 'WAT']
[265, '  0.396', '  2.363', '  3.771', 'WAT']
[266, '  1.586', '  1.641', '  1.476', 'WAT']
[267, '  1.098', '  2.487', '  3.801', 'WAT']
[268, '  2.094', '  3.405', '  2.977', 'WAT']
[269, '  1.088', '  3.746', '  2.799', 'WAT']
[270, '  3.002', '  2.971', '  3.215', 'WAT']
[271, '  0.738', '  0.564', '  0.290', 'WAT']
[272, '  3.243', '  3.496', '  0.840', 'WAT']
[273, '  0.425', '  1.907', '  1.629', 'WAT']
[274, '  3.695', '  2.538', '  1.454', 'WAT']
[275, '  1.347', '  0.037', '  0.699', 'WAT']
[276, '  1.777', '  2.880', '  3.296', 'WAT']
[277, '  2.258', '  1.800', '  3.897', 'WAT']
[278, '  0.303', '  4.003', '  0.226', 'WAT']
[279, '  1.076', '  3.623', '  3.332', 'WAT']
[280, '  3.204', '  2.039', '  3.075', 'WAT']
[281, '  0.064', '  3.447', '  0.953', 'WAT']
[282, '  3.031', '  2.722', '  1.522', 'WAT']
[283, '  2.283', '  0.670', '  3.681', 'WAT']
[284, '  2.936', '  3.918', '  3.380', 'WAT']
[285, '  0.435', '  0.454', '  1.065', 'WAT']
[286, '  2.982', '  0.172', '  3.941', 'WAT']
[287, '  3.409', '  2.557', '  2.856', 'WAT']
[288, '  1.440', '  0.184', '  3.049', 'WAT']
[289, '  1.767', '  0.480', '  2.621', 'WAT']
[290, '  1.201', '  3.359', '  2.068', 'WAT']
[291, '  2.029', '  1.324', '  2.538', 'WAT']
[292, '  2.617', '  1.586', '  3.284', 'WAT']
[293, '  0.602', '  1.464', '  0.715', 'WAT']
[294, '  3.669', '  2.982', '  2.360', 'WAT']
[295, '  1.083', '  1.447', '  1.297', 'WAT']
[296, '  0.203', '  0.538', '  3.508', 'WAT']
[297, '  3.071', '  0.234', '  2.418', 'WAT']
[298, '  0.631', '  3.023', '  0.703', 'WAT']
[299, '  3.254', '  3.973', '  3.906', 'WAT']
[300, '  2.371', '  2.402', '  0.392', 'WAT']
[301, '  0.727', '  3.185', '  2.434', 'WAT']
[302, '  2.248', '  3.746', '  1.542', 'WAT']
[303, '  1.818', '  2.595', '  1.887', 'WAT']
[304, '  1.565', '  3.299', '  3.754', 'WAT']
[305, '  1.620', '  3.362', '  2.856', 'WAT']
[306, '  3.948', '  3.862', '  1.276', 'WAT']
[307, '  2.879', '  3.109', '  0.474', 'WAT']
[308, '  3.044', '  1.934', '  2.259', 'WAT']
[309, '  0.677', '  1.817', '  1.842', 'WAT']
[310, '  2.648', '  2.036', '  1.885', 'WAT']
[311, '  1.125', '  1.325', '  1.022', 'WAT']
[312, '  3.295', '  3.019', '  1.096', 'WAT']
[313, '  1.157', '  3.419', '  0.512', 'WAT']
[314, '  3.186', '  1.133', '  0.282', 'WAT']
[315, '  0.070', '  3.628', '  0.659', 'WAT']
[316, '  1.863', '  1.370', '  2.972', 'WAT']
[317, '  1.940', '  2.061', '  2.301', 'WAT']
[318, '  0.999', '  0.866', '  3.629', 'WAT']
[319, '  3.697', '  2.478', '  0.397', 'WAT']
[320, '  3.628', '  1.732', '  3.144', 'WAT']
[321, '  2.106', '  3.477', '  2.705', 'WAT']
[322, '  3.213', '  1.600', '  0.115', 'WAT']
[323, '  1.046', '  0.019', '  0.965', 'WAT']
[324, '  3.507', '  1.428', '  1.386', 'WAT']
[325, '  1.514', '  2.327', '  2.136', 'WAT']
[326, '  0.984', '  0.954', '  0.352', 'WAT']
[327, '  2.029', '  0.768', '  0.189', 'WAT']
[328, '  3.977', '  1.461', '  1.068', 'WAT']
[329, '  0.134', '  0.546', '  0.822', 'WAT']
[330, '  0.505', '  2.306', '  1.400', 'WAT']
[331, '  1.247', '  2.092', '  0.209', 'WAT']
[332, '  2.296', '  3.000', '  2.023', 'WAT']
[333, '  2.098', '  3.864', '  1.743', 'WAT']
[334, '  1.187', '  3.017', '  2.690', 'WAT']
[335, '  1.377', '  3.305', '  2.488', 'WAT']
[336, '  1.452', '  3.675', '  2.626', 'WAT']
[337, '  3.563', '  3.990', '  1.786', 'WAT']
[338, '  3.026', '  0.197', '  3.637', 'WAT']
[339, '  3.792', '  0.013', '  1.911', 'WAT']
[340, '  2.633', '  0.275', '  2.896', 'WAT']
[341, '  3.898', '  2.869', '  1.516', 'WAT']
[342, '  1.041', '  3.525', '  1.047', 'WAT']
[343, '  3.097', '  2.884', '  0.915', 'WAT']
[344, '  0.451', '  2.959', '  2.812', 'WAT']
[345, '  3.050', '  3.827', '  1.500', 'WAT']
[346, '  1.491', '  1.977', '  0.256', 'WAT']
[347, '  3.864', '  0.461', '  3.429', 'WAT']
[348, '  2.746', '  1.932', '  3.570', 'WAT']
[349, '  1.139', '  1.042', '  2.165', 'WAT']
[350, '  1.820', '  0.330', '  2.377', 'WAT']
[351, '  2.039', '  2.788', '  0.190', 'WAT']
[352, '  2.576', '  2.209', '  0.231', 'WAT']
[353, '  2.911', '  3.697', '  0.143', 'WAT']
[354, '  2.848', '  0.908', '  1.637', 'WAT']
[355, '  0.485', '  1.089', '  0.522', 'WAT']
[356, '  0.947', '  2.093', '  1.558', 'WAT']
[357, '  4.000', '  1.458', '  1.990', 'WAT']
[358, '  1.098', '  2.681', '  2.593', 'WAT']
[359, '  1.980', '  3.723', '  0.277', 'WAT']
[360, '  0.374', '  1.735', '  2.447', 'WAT']
[361, '  1.769', '  0.040', '  2.414', 'WAT']
[362, '  2.660', '  3.030', '  3.720', 'WAT']
[363, '  3.596', '  3.045', '  0.416', 'WAT']
[364, '  3.822', '  3.276', '  0.649', 'WAT']
[365, '  2.360', '  3.476', '  2.904', 'WAT']
[366, '  2.796', '  0.445', '  3.660', 'WAT']
[367, '  2.820', '  3.324', '  0.747', 'WAT']
[368, '  2.649', '  2.585', '  1.723', 'WAT']
[369, '  3.237', '  0.892', '  3.461', 'WAT']
[370, '  0.459', '  1.799', '  0.333', 'WAT']
[371, '  1.883', '  2.734', '  3.723', 'WAT']
[372, '  1.999', '  3.993', '  0.265', 'WAT']
[373, '  2.976', '  1.552', '  1.610', 'WAT']
[374, '  2.074', '  2.167', '  3.324', 'WAT']
[375, '  0.795', '  3.596', '  1.783', 'WAT']
[376, '  3.537', '  2.933', '  0.015', 'WAT']
[377, '  3.336', '  0.755', '  1.014', 'WAT']
[378, '  2.251', '  0.871', '  1.049', 'WAT']
[379, '  2.086', '  1.075', '  0.226', 'WAT']
[380, '  3.722', '  1.287', '  1.146', 'WAT']
[381, '  3.638', '  3.930', '  3.665', 'WAT']
[382, '  3.837', '  2.624', '  2.623', 'WAT']
[383, '  1.838', '  2.255', '  3.407', 'WAT']
[384, '  1.759', '  0.044', '  3.880', 'WAT']
[385, '  0.222', '  1.876', '  2.221', 'WAT']
[386, '  2.072', '  1.843', '  1.155', 'WAT']
[387, '  0.497', '  0.550', '  1.816', 'WAT']
[388, '  3.565', '  3.373', '  3.843', 'WAT']
[389, '  0.621', '  2.896', '  0.141', 'WAT']
[390, '  3.017', '  2.076', '  0.391', 'WAT']
[391, '  1.560', '  3.969', '  2.938', 'WAT']
[392, '  1.983', '  3.304', '  3.459', 'WAT']
[393, '  0.857', '  2.329', '  2.008', 'WAT']
[394, '  1.455', '  1.936', '  1.545', 'WAT']
[395, '  0.243', '  0.382', '  1.251', 'WAT']
[396, '  1.143', '  2.739', '  0.475', 'WAT']
[397, '  0.293', '  1.720', '  0.617', 'WAT']
[398, '  0.790', '  2.083', '  1.089', 'WAT']
[399, '  0.105', '  3.606', '  2.364', 'WAT']
[400, '  0.584', '  2.829', '  0.481', 'WAT']
[401, '  2.647', '  0.640', '  3.037', 'WAT']
[402, '  3.590', '  3.201', '  2.511', 'WAT']
[403, '  2.270', '  2.656', '  2.757', 'WAT']
[404, '  2.883', '  0.125', '  0.500', 'WAT']
[405, '  1.947', '  0.297', '  1.338', 'WAT']
[406, '  3.705', '  0.761', '  1.724', 'WAT']
[407, '  3.583', '  1.215', '  1.865', 'WAT']
[408, '  1.192', '  2.632', '  0.221', 'WAT']
[409, '  3.391', '  1.096', '  0.755', 'WAT']
[410, '  1.723', '  2.568', '  3.284', 'WAT']
[411, '  3.542', '  3.302', '  3.547', 'WAT']
[412, '  2.466', '  0.687', '  1.296', 'WAT']
[413, '  1.796', '  2.253', '  1.830', 'WAT']
[414, '  1.518', '  1.560', '  0.033', 'WAT']
[415, '  0.478', '  0.341', '  3.250', 'WAT']
[416, '  2.657', '  2.739', '  1.016', 'WAT']
[417, '  3.281', '  1.808', '  3.926', 'WAT']
[418, '  0.253', '  1.731', '  1.482', 'WAT']
[419, '  1.048', '  2.737', '  2.304', 'WAT']
[420, '  1.950', '  0.254', '  0.785', 'WAT']
[421, '  3.331', '  0.197', '  3.778', 'WAT']
[422, '  2.525', '  3.783', '  2.434', 'WAT']
[423, '  2.510', '  3.677', '  1.371', 'WAT']
[424, '  0.757', '  3.318', '  0.408', 'WAT']
[425, '  1.385', '  2.184', '  0.513', 'WAT']
[426, '  3.310', '  2.481', '  1.121', 'WAT']
[427, '  0.657', '  3.284', '  1.106', 'WAT']
[428, '  0.727', '  0.287', '  3.398', 'WAT']
[429, '  0.467', '  2.309', '  0.473', 'WAT']
[430, '  1.645', '  2.174', '  3.230', 'WAT']
[431, '  0.565', '  1.050', '  0.216', 'WAT']
[432, '  1.244', '  2.862', '  1.229', 'WAT']
[433, '  0.363', '  0.339', '  2.027', 'WAT']
[434, '  1.421', '  3.742', '  0.753', 'WAT']
[435, '  2.185', '  2.504', '  1.373', 'WAT']
[436, '  0.981', '  3.982', '  2.929', 'WAT']
[437, '  1.470', '  2.876', '  0.915', 'WAT']
[438, '  2.235', '  3.564', '  0.266', 'WAT']
[439, '  3.905', '  2.304', '  2.858', 'WAT']
[440, '  2.196', '  0.096', '  2.553', 'WAT']
[441, '  2.368', '  1.923', '  3.682', 'WAT']
[442, '  2.144', '  3.157', '  3.733', 'WAT']
[443, '  0.258', '  0.865', '  3.341', 'WAT']
[444, '  1.573', '  2.026', '  3.881', 'WAT']
[445, '  2.013', '  1.602', '  3.623', 'WAT']
[446, '  2.416', '  1.939', '  1.713', 'WAT']
[447, '  3.969', '  0.237', '  3.572', 'WAT']
[448, '  3.952', '  3.783', '  3.619', 'WAT']
[449, '  3.948', '  3.185', '  1.435', 'WAT']
[450, '  2.963', '  0.658', '  2.743', 'WAT']
[451, '  2.553', '  3.682', '  1.841', 'WAT']
[452, '  2.158', '  3.841', '  0.786', 'WAT']
[453, '  3.511', '  3.098', '  3.790', 'WAT']
[454, '  0.181', '  0.312', '  0.214', 'WAT']
[455, '  0.768', '  1.355', '  0.517', 'WAT']
[456, '  2.994', '  0.506', '  3.174', 'WAT']
[457, '  0.045', '  1.323', '  0.635', 'WAT']
[458, '  0.396', '  0.742', '  2.012', 'WAT']
[459, '  0.455', '  0.087', '  0.682', 'WAT']
[460, '  0.226', '  1.604', '  1.886', 'WAT']
[461, '  3.049', '  1.578', '  2.999', 'WAT']
[462, '  0.812', '  3.359', '  0.780', 'WAT']
[463, '  1.596', '  0.625', '  2.369', 'WAT']
[464, '  2.307', '  1.516', '  1.199', 'WAT']
[465, '  3.192', '  2.991', '  0.675', 'WAT']
[466, '  2.996', '  1.306', '  3.673', 'WAT']
[467, '  0.738', '  3.939', '  3.010', 'WAT']
[468, '  3.238', '  3.266', '  0.702', 'WAT']
[469, '  2.736', '  3.534', '  0.578', 'WAT']
[470, '  0.428', '  3.126', '  2.508', 'WAT']
[471, '  3.008', '  3.057', '  0.240', 'WAT']
[472, '  2.600', '  0.604', '  2.210', 'WAT']
[473, '  0.085', '  2.138', '  2.082', 'WAT']
[474, '  2.666', '  0.985', '  1.114', 'WAT']
[475, '  2.268', '  2.228', '  2.819', 'WAT']
[476, '  2.101', '  0.622', '  3.330', 'WAT']
[477, '  2.888', '  2.359', '  1.131', 'WAT']
[478, '  3.876', '  1.677', '  2.087', 'WAT']
[479, '  1.460', '  1.967', '  0.821', 'WAT']
[480, '  0.606', '  3.547', '  3.306', 'WAT']
[481, '  1.220', '  1.378', '  2.327', 'WAT']
[482, '  3.622', '  1.685', '  1.921', 'WAT']
[483, '  2.419', '  2.391', '  1.527', 'WAT']
[484, '  1.804', '  3.800', '  1.959', 'WAT']
[485, '  1.830', '  0.814', '  3.256', 'WAT']
[486, '  3.581', '  3.173', '  0.187', 'WAT']
[487, '  2.704', '  1.992', '  2.605', 'WAT']
[488, '  3.696', '  3.288', '  3.288', 'WAT']
[489, '  2.506', '  0.812', '  3.200', 'WAT']
[490, '  0.740', '  3.954', '  3.869', 'WAT']
[491, '  3.863', '  3.343', '  0.168', 'WAT']
[492, '  1.599', '  2.357', '  2.739', 'WAT']
[493, '  3.948', '  3.478', '  2.941', 'WAT']
[494, '  3.035', '  1.278', '  1.089', 'WAT']
[495, '  2.093', '  3.685', '  2.933', 'WAT']
[496, '  3.739', '  1.614', '  1.634', 'WAT']
[497, '  3.603', '  1.051', '  2.227', 'WAT']
[498, '  3.236', '  2.860', '  3.164', 'WAT']
[499, '  2.366', '  2.113', '  0.920', 'WAT']
